,objective
0,1032.4583214377376
1,1032.0849628091353
2,1031.7197130080801
3,1031.3652116242831
4,1031.0186849189342
5,1030.6666046611676
6,1030.293966464903
7,1029.8942246512966
8,1029.483007397048
9,1029.0750546299491
10,1028.6449790258494
11,1028.169857913978
12,1027.6307804132534
13,1027.0107952654248
14,1026.2929260389283
15,1025.4594312765769
16,1024.4950399134239
17,1023.3913463985236
18,1022.1598085321797
19,1020.8735829601151
20,1019.6887999735414
21,1018.7035644542498
22,1017.8497403798139
23,1017.0046111109727
24,1016.0906398923087
25,1015.0908764333801
26,1013.9847728905063
27,1012.7303443252275
28,1011.3195337618579
29,1009.8041429095731
30,1008.2714528209208
31,1006.8150532152613
32,1005.5058844213222
33,1004.3437375086232
34,1003.2589064359884
35,1002.2077830568239
36,1001.1951917181741
37,1000.1907036357684
38,999.1130235135277
39,997.9625321930889
40,996.8300228642622
41,995.7287597727433
42,994.5809019732257
43,993.3041176133712
44,991.8420420175963
45,990.1518164468521
46,988.1982074680313
47,985.9668967339273
48,983.4960188597688
49,980.9339045333215
50,978.507388338523
51,976.3366487985969
52,974.3886177059443
53,972.5500709747203
54,970.7386145074324
55,968.9532633141946
56,967.1688170254188
57,965.3024053931227
58,963.229487869154
59,960.8008282701187
60,957.9432657860418
61,954.7462855012993
62,951.4071129565609
63,948.1198359682016
64,944.9901332498055
65,941.9854822847263
66,939.0179697216372
67,936.0037952129126
68,932.9204130726508
69,929.9187735537791
70,927.3377670924705
71,925.3376786826134
72,923.5773840156829
73,921.832067955887
74,920.0786961280498
75,918.3320345872482
76,916.5863155101245
77,914.8072051044487
78,912.9396636613641
79,910.9526423221664
80,908.9232791811862
81,906.9768845968232
82,905.1084912125605
83,903.2256156283175
84,901.2370725737169
85,899.112506413541
86,896.896539305739
87,894.6543187449262
88,892.4478958970644
89,890.3549386016051
90,888.4496119450548
91,886.750041439714
92,885.2338426330684
93,883.8574828258245
94,882.5608337710522
95,881.2964297049148
96,880.0448801686023
97,878.8164686247726
98,877.632126055722
99,876.5035175490384
100,875.4206622389602
101,874.354501543786
102,873.2788650215
103,872.1796124586124
104,871.0381367647688
105,869.809917860202
106,868.4430990273238
107,866.9172746769325
108,865.2678700454776
109,863.5963172528775
110,862.0320466061287
111,860.6081119562368
112,859.2876599942954
113,858.0308855541327
114,856.811866237424
115,855.6513994756746
116,854.5865810218644
117,853.6171572310199
118,852.7031406134208
119,851.7974706900857
120,850.8598440816788
121,849.8656129501549
122,848.8168805719909
123,847.7438915030183
124,846.6871644475782
125,845.6792709002646
126,844.7416255348089
127,843.8805714238727
128,843.075781569454
129,842.2768255738724
130,841.4228237201551
131,840.4760526398472
132,839.4255067163404
133,838.277839502917
134,837.0967283952477
135,835.9978115764836
136,835.0466336225029
137,834.2317449169707
138,833.5061660757152
139,832.8179115143325
140,832.1216897064526
141,831.3770885037428
142,830.5470278272148
143,829.6131292303287
144,828.6058368773123
145,827.589448497675
146,826.5790053262618
147,825.5234661909119
148,824.4221323539375
149,823.3389442223545
150,822.22867975593
151,821.0158332181954
152,819.7043472591728
153,818.343278748665
154,816.9946727527317
155,815.7224752061659
156,814.5796058604238
157,813.5589207095334
158,812.5851624633926
159,811.5807258071516
160,810.4612017272707
161,809.1672945862649
162,807.716688295721
163,806.1709263961382
164,804.6071663300418
165,803.1172292601279
166,801.7011924349451
167,800.2641646170872
168,798.8638490346408
169,797.616860533119
170,796.5436038828813
171,795.5918605120446
172,794.7106723037944
173,793.8487910817755
174,792.9623655103669
175,792.0351346972702
176,791.073629660701
177,790.0786810653024
178,789.0335421584934
179,787.9381450131705
180,786.8139857616965
181,785.6977197715739
182,784.643312140521
183,783.699892220899
184,782.8912323916672
185,782.2078585737036
186,781.600061164774
187,780.989857461002
188,780.3022831462392
189,779.5071811793752
190,778.640241069666
191,777.7705479593994
192,776.949712524399
193,776.1884338940545
194,775.4685691291343
195,774.7714270671916
196,774.098758293042
197,773.4802844040667
198,772.9498231458568
199,772.4825281451137
200,772.0246307811785
201,771.5739298221179
202,771.161588276376
203,770.8018705759414
204,770.4811753518546
205,770.1795819997358
206,769.8803601199157
207,769.5686224633721
208,769.2287961778056
209,768.843099705741
210,768.3920132590963
211,767.8577274533919
212,767.2280361858145
213,766.4941898458192
214,765.6444964278154
215,764.6633021043184
216,763.5387996043585
217,762.2787306198672
218,760.9249197888614
219,759.5496701790562
220,758.233692246221
221,757.0446798076534
222,756.0217581201305
223,755.1621786197957
224,754.4322300495805
225,753.804332082825
226,753.2659323457274
227,752.775857307504
228,752.2773958414671
229,751.74305108963
230,751.1676483606158
231,750.5666931461371
232,749.9741094901107
233,749.4141182552446
234,748.894667409483
235,748.4211930511393
236,747.9855760939051
237,747.5735573009015
238,747.1850718434637
239,746.8231280719287
240,746.4778970613692
241,746.1285094566838
242,745.7478794522781
243,745.3092097948925
244,744.8005646474002
245,744.2376311077016
246,743.654064248173
247,743.102547623296
248,742.6121935438947
249,742.1518125773241
250,741.7267996887485
251,741.3496287264816
252,741.0091627268213
253,740.6778201689349
254,740.3348829461336
255,739.9680313318672
256,739.5677024218721
257,739.1279732588591
258,738.6541353961678
259,738.1636515923227
260,737.6720102259958
261,737.1826420862602
262,736.6999824283071
263,736.2315429961977
264,735.77266073065
265,735.3034723971464
266,734.80256758441
267,734.258906598979
268,733.6804512166191
269,733.0722546882753
270,732.4311652436584
271,731.7748353838698
272,731.1165170488863
273,730.4562008735604
274,729.7874478903209
275,729.0703668092592
276,728.2714388663572
277,727.3806537492436
278,726.4070635338489
279,725.3738925358914
280,724.3054456874919
281,723.2177865762682
282,722.1275925431615
283,721.0617225028756
284,720.0465628131018
285,719.0941578733331
286,718.2085085092531
287,717.4090545825437
288,716.7407296628852
289,716.2271734434374
290,715.7948680879975
291,715.3552275342215
292,714.8675314867202
293,714.3385573958997
294,713.8121200482392
295,713.3352615465199
296,712.9351519904399
297,712.6086877841971
298,712.3305598457441
299,712.0720752095489
300,711.8125563304922
301,711.5335358854961
302,711.2140062353152
303,710.8428123256641
304,710.4315103169237
305,710.0087305646987
306,709.6025399496937
307,709.2278088333784
308,708.8807416376853
309,708.5472641319556
310,708.2157256286431
311,707.8737598036921
312,707.509406299803
313,707.1214311888734
314,706.7177343436583
315,706.3084208806974
316,705.9040447222244
317,705.515478849056
318,705.1492837320675
319,704.8006448345509
320,704.4616525967706
321,704.1415425618679
322,703.8517437090486
323,703.5731806527947
324,703.2793856617919
325,702.9758366139883
326,702.7208893557121
327,702.5535151574295
328,702.4022446215081
329,702.2429333490327
330,702.0618920202407
331,701.8465901760743
332,701.5858704634758
333,701.2736444217745
334,700.913478117488
335,700.5200570072583
336,700.1194805604047
337,699.7416633401463
338,699.4057710410785
339,699.1111858778991
340,698.8478330568043
341,698.612788163407
342,698.3997884547239
343,698.1979620102354
344,697.9991135469904
345,697.8019583967155
346,697.612068933242
347,697.4391826191195
348,697.2878296579017
349,697.1449050423345
350,696.9934629116833
351,696.8256014066768
352,696.6362890138796
353,696.4226789136094
354,696.1940565182956
355,695.9726040566422
356,695.779718811984
357,695.6219249352761
358,695.4902292311835
359,695.3688636937518
360,695.250294720968
361,695.1378382130988
362,695.0360991815562
363,694.9327705848827
364,694.8182078974454
365,694.6839624401907
366,694.5199825790446
367,694.3126755426086
368,694.0423112738622
369,693.683740899497
370,693.2203991365411
371,692.6677755467811
372,692.0733182323152
373,691.490095444766
374,690.950032896284
375,690.4374427948588
376,689.917655475651
377,689.4080661541657
378,688.9534777904437
379,688.5627076453081
380,688.2157971560225
381,687.8946370323902
382,687.5855846067291
383,687.2731698284157
384,686.9475686039416
385,686.6167996656977
386,686.2990435640271
387,686.0066124747551
388,685.7415922655322
389,685.5056745337309
390,685.2841128587864
391,685.0663730747694
392,684.8513552053985
393,684.6397575048735
394,684.4366502111377
395,684.2411424471878
396,684.0504121633688
397,683.8570371096775
398,683.6505524971927
399,683.4395366410988
400,683.2431665203237
401,683.0507950825096
402,682.8436884613686
403,682.6175150595683
404,682.3804307120126
405,682.1517706413825
406,681.9543648974316
407,681.7934732464778
408,681.6525776926826
409,681.513559948777
410,681.3647884289365
411,681.2050947792104
412,681.0429218028521
413,680.8909455630078
414,680.7506917962286
415,680.6082177204189
416,680.4534156277559
417,680.2811847153284
418,680.0855311208895
419,679.8524993033941
420,679.5685265308346
421,679.2283017480388
422,678.832525336752
423,678.387159334866
424,677.9050439508808
425,677.4059218253147
426,676.913457995416
427,676.4350164254423
428,675.9424700693371
429,675.3954125784048
430,674.7717312521637
431,674.106742056065
432,673.5083998710152
433,673.0426500329429
434,672.6597750706335
435,672.3167187260362
436,671.9949379656045
437,671.6876073993145
438,671.3877074195175
439,671.0865894028377
440,670.7841345728511
441,670.48287211816
442,670.1822729448902
443,669.8810794073432
444,669.5755617890901
445,669.2642815311326
446,668.9593203962038
447,668.6774032691458
448,668.4207465912552
449,668.1721625525695
450,667.9054556250396
451,667.6048176066349
452,667.2726435160148
453,666.967169647325
454,666.763365331138
455,666.5873986281699
456,666.4024531053788
457,666.193688338795
458,665.9536595754751
459,665.677261249798
460,665.3485109096731
461,664.9350341627882
462,664.3953520684904
463,663.698603200112
464,662.8463792744765
465,661.8844033930206
466,660.8859462759445
467,659.9081269499916
468,659.0056763023822
469,658.2972949547031
470,657.8485539479173
471,657.4760515905025
472,657.1067898190354
473,656.7466950350952
474,656.4512466336032
475,656.1815599827113
476,655.8812356152503
477,655.566895973278
478,655.2611512691817
479,654.9506173834836
480,654.6005493464529
481,654.1872689245885
482,653.7183662596127
483,653.2170524562684
484,652.7037955697198
485,652.1933567444905
486,651.7035795024894
487,651.2624341562682
488,650.8963273271142
489,650.6112030147794
490,650.3760432255972
491,650.1613647618663
492,649.9604164305736
493,649.7778078741233
494,649.6144603438078
495,649.4586722955542
496,649.2964782908107
497,649.1212626823233
498,648.9317778130235
499,648.7298450307662
500,648.5170388427916
501,648.294746847985
502,648.0686197251081
503,647.8532595035781
504,647.6605003280952
505,647.4841830814681
506,647.3125999752542
507,647.1342875894576
508,646.93790124109
509,646.7137798991882
510,646.4640566083992
511,646.217791677248
512,646.0092090079268
513,645.8294080603844
514,645.6653492096016
515,645.5097173954928
516,645.3527477823593
517,645.1815637762745
518,644.9859705785309
519,644.7601762279853
520,644.5014560476176
521,644.2082116864597
522,643.8813619953257
523,643.5257962889821
524,643.1469876634741
525,642.7594789852418
526,642.3924434576204
527,642.0694785325081
528,641.792010856753
529,641.5494802763167
530,641.320880144556
531,641.0790391824485
532,640.8046581959675
533,640.4934687281134
534,640.1611612587877
535,639.8495151540317
536,639.6136232239617
537,639.4292067994813
538,639.2531348595105
539,639.0770473239883
